Country,Year,Nights
Croatia,2010,33234882
Italy,2010,165202498
Cyprus,2010,12448158
Latvia,2010,1912336
Lithuania,2010,1571325
Luxembourg,2010,1717130
Hungary,2010,9358373
Malta,2010,7208295
Netherlands,2010,26799800
Austria,2010,72585976
Poland,2010,10064628
Portugal,2010,25386084
Romania,2010,2766581
Slovenia,2010,4680456
Slovakia,2010,3749566
Finland,2010,5005068
Sweden,2010,11184995
United Kingdom,2010,84610527
Iceland,2010,2089527
Liechtenstein,2010,150336
Norway,2010,7881525
Switzerland,2010,0
Montenegro,2010,0
Former Yugoslav Republic of Macedonia,2010,548640
Serbia,2010,0
Turkey,2010,0
Belgium,2011,16723867
Bulgaria,2011,12426723
Czech Republic,2011,19424839
Denmark,2011,9491137
Germany,2011,63081467
Estonia,2011,3748865
Ireland,2011,0
Greece,2011,65514230
Spain,2011,239369167
France,2011,123227704
Croatia,2011,35389002
Italy,2011,176474062
Cyprus,2011,13112596
Latvia,2011,2257021
Lithuania,2011,1883003
Luxembourg,2011,2057883
Hungary,2011,9920339
Malta,2011,7361449
Netherlands,2011,27739000
Austria,2011,73647325
Poland,2011,10620264
Portugal,2011,27860103
Romania,2011,3066882
Slovenia,2011,5106452
Slovakia,2011,3990300
Finland,2011,5507468
Sweden,2011,11344435
United Kingdom,2011,87993917
Iceland,2011,2384477
Liechtenstein,2011,148955
Norway,2011,7844241
Switzerland,2011,0
Montenegro,2011,2743414
Former Yugoslav Republic of Macedonia,2011,740532
Serbia,2011,0
Turkey,2011,0
Belgium,2012,16432646
Bulgaria,2012,13451440
Czech Republic,2012,21793985
Denmark,2012,9608124
Germany,2012,68161503
Estonia,2012,3823039
Ireland,2012,11839245
Greece,2012,61054383
Spain,2012,243389006
France,2012,125038453
Croatia,2012,57079967
Italy,2012,180594988
Cyprus,2012,13488127
Latvia,2012,2429093
Lithuania,2012,2680048
Luxembourg,2012,2298068
Hungary,2012,11392183
Malta,2012,7498421
Netherlands,2012,27845942
Austria,2012,77158431
Poland,2012,11876599
Portugal,2012,29033970
Romania,2012,3291504
Slovenia,2012,5702306
Slovakia,2012,4039410
Finland,2012,5802959
Sweden,2012,11299455
United Kingdom,2012,105455528
Iceland,2012,2873790
Liechtenstein,2012,136276
Norway,2012,7940468
Switzerland,2012,0
Montenegro,2012,8143007
Former Yugoslav Republic of Macedonia,2012,794564
Serbia,2012,1766627
Turkey,2012,0
Belgium,2013,16511721
Bulgaria,2013,14370426
Czech Republic,2013,22144896
Denmark,2013,9914273
Germany,2013,71191942
Estonia,2013,3909326
Ireland,2013,10871806
Greece,2013,68992640
Spain,2013,252447766
France,2013,132251136
Croatia,2013,59378896
Italy,2013,184793382
Cyprus,2013,13152589
Latvia,2013,2639434
Lithuania,2013,2906201
Luxembourg,2013,2313124
Hungary,2013,11982883
Malta,2013,8172407
Netherlands,2013,31770508
Austria,2013,78433546
Poland,2013,12471268
Portugal,2013,32078773
Romania,2013,3471152
Slovenia,2013,5887862
Slovakia,2013,4277598
Finland,2013,5860447
Sweden,2013,11442690
United Kingdom,2013,0
Iceland,2013,3366252
Liechtenstein,2013,132491
Norway,2013,7693241
Switzerland,2013,0
Montenegro,2013,0
Former Yugoslav Republic of Macedonia,2013,864125
Serbia,2013,1879208
Turkey,2013,89594261
Belgium,2014,17068872
Bulgaria,2014,14077798
Czech Republic,2014,22110112
Denmark,2014,10608119
Germany,2014,74805253
Estonia,2014,3919299
Ireland,2014,11276424
Greece,2014,74675156
Spain,2014,259635794
France,2014,130908700
Croatia,2014,61072661
Italy,2014,186792507
Cyprus,2014,12884399
Latvia,2014,2875934
Lithuania,2014,3033826
Luxembourg,2014,2513585
Hungary,2014,12351330
Malta,2014,8428215
Netherlands,2014,34423552
Austria,2014,78099096
Poland,2014,12992241
Portugal,2014,35630345
Romania,2014,3762465
Slovenia,2014,6004623
Slovakia,2014,3852147
Finland,2014,5710702
Sweden,2014,12260712
United Kingdom,2014,0
Iceland,2014,4404834
Liechtenstein,2014,130202
Norway,2014,8451333
Switzerland,2014,0
Montenegro,2014,0
Former Yugoslav Republic of Macedonia,2014,900148
Serbia,2014,2074680
Turkey,2014,97581075
Belgium,2015,18852087
Bulgaria,2015,13352281
Czech Republic,2015,23286515
Denmark,2015,11171416
Germany,2015,78827773
Estonia,2015,3770207
Ireland,2015,13462348
Greece,2015,78254524
Spain,2015,269418103
France,2015,130464997
Croatia,2015,65683010
Italy,2015,192607930
Cyprus,2015,12550320
Latvia,2015,2873885
Lithuania,2015,3010727
Luxembourg,2015,2655733
Hungary,2015,12962395
Malta,2015,8542055
Netherlands,2015,37297588
Austria,2015,80304956
Poland,2015,13757657
Portugal,2015,38897329
Romania,2015,4460017
Slovenia,2015,6529086
Slovakia,2015,4384800
Finland,2015,5510350
Sweden,2015,13612924
United Kingdom,2015,0
Iceland,2015,5605634
Liechtenstein,2015,110465
Norway,2015,8851422
Switzerland,2015,0
Montenegro,2015,10307371
Former Yugoslav Republic of Macedonia,2015,1020943
Serbia,2015,2402065
Turkey,2015,96400316









